postcode,gemeente,provincie,gewest
2870,Puurs-Sint-Amands,Antwerpen,Vlaams Gewest
2880,Bornem,Antwerpen,Vlaams Gewest
2890,Puurs-Sint-Amands,Antwerpen,Vlaams Gewest
2900,Schoten,Antwerpen,Vlaams Gewest
2910,Essen,Antwerpen,Vlaams Gewest
2920,Kalmthout,Antwerpen,Vlaams Gewest
2930,Brasschaat,Antwerpen,Vlaams Gewest
2940,Stabroek,Antwerpen,Vlaams Gewest
2950,Kapellen,Antwerpen,Vlaams Gewest
2960,Brecht,Antwerpen,Vlaams Gewest
2970,Schilde,Antwerpen,Vlaams Gewest
2980,Zoersel,Antwerpen,Vlaams Gewest
2990,Wuustwezel,Antwerpen,Vlaams Gewest
3000,Leuven,Vlaams-Brabant,Vlaams Gewest
3001,Leuven,Vlaams-Brabant,Vlaams Gewest
3010,Leuven,Vlaams-Brabant,Vlaams Gewest
3012,Leuven,Vlaams-Brabant,Vlaams Gewest
3018,Leuven,Vlaams-Brabant,Vlaams Gewest
3020,Herent,Vlaams-Brabant,Vlaams Gewest
3040,Huldenberg,Vlaams-Brabant,Vlaams Gewest
3050,Oud-Heverlee,Vlaams-Brabant,Vlaams Gewest
3051,Oud-Heverlee,Vlaams-Brabant,Vlaams Gewest
3052,Oud-Heverlee,Vlaams-Brabant,Vlaams Gewest
3053,Oud-Heverlee,Vlaams-Brabant,Vlaams Gewest
3054,Oud-Heverlee,Vlaams-Brabant,Vlaams Gewest
3060,Bertem,Vlaams-Brabant,Vlaams Gewest
3061,Bertem,Vlaams-Brabant,Vlaams Gewest
3070,Kortenberg,Vlaams-Brabant,Vlaams Gewest
3071,Kortenberg,Vlaams-Brabant,Vlaams Gewest
3078,Kortenberg,Vlaams-Brabant,Vlaams Gewest
3080,Tervuren,Vlaams-Brabant,Vlaams Gewest
3090,Overijse,Vlaams-Brabant,Vlaams Gewest
3110,Rotselaar,Vlaams-Brabant,Vlaams Gewest
3111,Rotselaar,Vlaams-Brabant,Vlaams Gewest
3118,Rotselaar,Vlaams-Brabant,Vlaams Gewest
3120,Tremelo,Vlaams-Brabant,Vlaams Gewest
3128,Tremelo,Vlaams-Brabant,Vlaams Gewest
3130,Begijnendijk,Vlaams-Brabant,Vlaams Gewest
3140,Keerbergen,Vlaams-Brabant,Vlaams Gewest
3150,Haacht,Vlaams-Brabant,Vlaams Gewest
3190,Boortmeerbeek,Vlaams-Brabant,Vlaams Gewest
3191,Boortmeerbeek,Vlaams-Brabant,Vlaams Gewest
3200,Aarschot,Vlaams-Brabant,Vlaams Gewest
3201,Aarschot,Vlaams-Brabant,Vlaams Gewest
3202,Aarschot,Vlaams-Brabant,Vlaams Gewest
3210,Lubbeek,Vlaams-Brabant,Vlaams Gewest
3211,Lubbeek,Vlaams-Brabant,Vlaams Gewest
3212,Lubbeek,Vlaams-Brabant,Vlaams Gewest
3220,Holsbeek,Vlaams-Brabant,Vlaams Gewest
3221,Holsbeek,Vlaams-Brabant,Vlaams Gewest
3270,Scherpenheuvel-Zichem,Vlaams-Brabant,Vlaams Gewest
3271,Scherpenheuvel-Zichem,Vlaams-Brabant,Vlaams Gewest
3272,Scherpenheuvel-Zichem,Vlaams-Brabant,Vlaams Gewest
3290,Diest,Vlaams-Brabant,Vlaams Gewest
3293,Diest,Vlaams-Brabant,Vlaams Gewest
3294,Diest,Vlaams-Brabant,Vlaams Gewest
3300,Tienen,Vlaams-Brabant,Vlaams Gewest
3320,Hoegaarden,Vlaams-Brabant,Vlaams Gewest
3321,Hoegaarden,Vlaams-Brabant,Vlaams Gewest
3350,Linter,Vlaams-Brabant,Vlaams Gewest
3360,Bierbeek,Vlaams-Brabant,Vlaams Gewest
3370,Boutersem,Vlaams-Brabant,Vlaams Gewest
3380,Glabbeek,Vlaams-Brabant,Vlaams Gewest
3381,Glabbeek,Vlaams-Brabant,Vlaams Gewest
3384,Glabbeek,Vlaams-Brabant,Vlaams Gewest
3390,Tielt-Winge,Vlaams-Brabant,Vlaams Gewest
3391,Tielt-Winge,Vlaams-Brabant,Vlaams Gewest
3400,Landen,Vlaams-Brabant,Vlaams Gewest
3401,Landen,Vlaams-Brabant,Vlaams Gewest
3404,Landen,Vlaams-Brabant,Vlaams Gewest
3440,Zoutleeuw,Vlaams-Brabant,Vlaams Gewest
3450,Geetbets,Vlaams-Brabant,Vlaams Gewest
3454,Geetbets,Vlaams-Brabant,Vlaams Gewest
3460,Bekkevoort,Vlaams-Brabant,Vlaams Gewest
3461,Bekkevoort,Vlaams-Brabant,Vlaams Gewest
3470,Kortenaken,Vlaams-Brabant,Vlaams Gewest
3471,Kortenaken,Vlaams-Brabant,Vlaams Gewest
3472,Kortenaken,Vlaams-Brabant,Vlaams Gewest
3473,Kortenaken,Vlaams-Brabant,Vlaams Gewest
3500,Hasselt,Limburg,Vlaams Gewest
3501,Hasselt,Limburg,Vlaams Gewest
3510,Hasselt,Limburg,Vlaams Gewest
3511,Hasselt,Limburg,Vlaams Gewest
3512,Hasselt,Limburg,Vlaams Gewest
3520,Zonhoven,Limburg,Vlaams Gewest
3530,Houthalen-Helchteren,Limburg,Vlaams Gewest
3540,Herk-de-Stad,Limburg,Vlaams Gewest
3545,Halen,Limburg,Vlaams Gewest
3550,Heusden-Zolder,Limburg,Vlaams Gewest
3560,Lummen,Limburg,Vlaams Gewest
3570,Alken,Limburg,Vlaams Gewest
3580,Beringen,Limburg,Vlaams Gewest
3581,Beringen,Limburg,Vlaams Gewest
3582,Beringen,Limburg,Vlaams Gewest
3583,Beringen,Limburg,Vlaams Gewest
3590,Diepenbeek,Limburg,Vlaams Gewest
3600,Genk,Limburg,Vlaams Gewest
3620,Lanaken,Limburg,Vlaams Gewest
3621,Lanaken,Limburg,Vlaams Gewest
3630,Maasmechelen,Limburg,Vlaams Gewest
3631,Maasmechelen,Limburg,Vlaams Gewest
3640,Kinrooi,Limburg,Vlaams Gewest
3650,Dilsen-Stokkem,Limburg,Vlaams Gewest
3660,Oudsbergen,Limburg,Vlaams Gewest
3665,As,Limburg,Vlaams Gewest
3668,As,Limburg,Vlaams Gewest
3670,Oudsbergen,Limburg,Vlaams Gewest
3680,Maaseik,Limburg,Vlaams Gewest
3690,Zutendaal,Limburg,Vlaams Gewest
3700,Tongeren,Limburg,Vlaams Gewest
3717,Herstappe,Limburg,Vlaams Gewest
3720,Kortessem,Limburg,Vlaams Gewest
3721,Kortessem,Limburg,Vlaams Gewest
3722,Kortessem,Limburg,Vlaams Gewest
3723,Kortessem,Limburg,Vlaams Gewest
3724,Kortessem,Limburg,Vlaams Gewest
3730,Hoeselt,Limburg,Vlaams Gewest
3732,Hoeselt,Limburg,Vlaams Gewest
3740,Bilzen,Limburg,Vlaams Gewest
3742,Bilzen,Limburg,Vlaams Gewest
3746,Bilzen,Limburg,Vlaams Gewest
3770,Riemst,Limburg,Vlaams Gewest
3790,Voeren,Limburg,Vlaams Gewest
3791,Voeren,Limburg,Vlaams Gewest
3792,Voeren,Limburg,Vlaams Gewest
3793,Voeren,Limburg,Vlaams Gewest
3798,Voeren,Limburg,Vlaams Gewest
3800,Sint-Truiden,Limburg,Vlaams Gewest
3803,Sint-Truiden,Limburg,Vlaams Gewest
3806,Sint-Truiden,Limburg,Vlaams Gewest
3830,Wellen,Limburg,Vlaams Gewest
3831,Wellen,Limburg,Vlaams Gewest
3832,Wellen,Limburg,Vlaams Gewest
3840,Borgloon,Limburg,Vlaams Gewest
3850,Nieuwerkerken,Limburg,Vlaams Gewest
3870,Heers,Limburg,Vlaams Gewest
3890,Gingelom,Limburg,Vlaams Gewest
3891,Gingelom,Limburg,Vlaams Gewest
3900,Pelt,Limburg,Vlaams Gewest
3910,Pelt,Limburg,Vlaams Gewest
3920,Lommel,Limburg,Vlaams Gewest
3930,Hamont-Achel,Limburg,Vlaams Gewest
3940,Hechtel-Eksel,Limburg,Vlaams Gewest
3941,Hechtel-Eksel,Limburg,Vlaams Gewest
3945,Ham,Limburg,Vlaams Gewest
3950,Bocholt,Limburg,Vlaams Gewest
3960,Bree,Limburg,Vlaams Gewest
3970,Leopoldsburg,Limburg,Vlaams Gewest
3971,Leopoldsburg,Limburg,Vlaams Gewest
3980,Tessenderlo,Limburg,Vlaams Gewest
3990,Peer,Limburg,Vlaams Gewest
8000,Brugge,West-Vlaanderen,Vlaams Gewest
8020,Oostkamp,West-Vlaanderen,Vlaams Gewest
8200,Brugge,West-Vlaanderen,Vlaams Gewest
8210,Zedelgem,West-Vlaanderen,Vlaams Gewest
8211,Zedelgem,West-Vlaanderen,Vlaams Gewest
8300,Knokke-Heist,West-Vlaanderen,Vlaams Gewest
8301,Knokke-Heist,West-Vlaanderen,Vlaams Gewest
8310,Brugge,West-Vlaanderen,Vlaams Gewest
8340,Damme,West-Vlaanderen,Vlaams Gewest
8370,Blankenberge,West-Vlaanderen,Vlaams Gewest
8377,Zuienkerke,West-Vlaanderen,Vlaams Gewest
8380,Brugge,West-Vlaanderen,Vlaams Gewest
8400,Oostende,West-Vlaanderen,Vlaams Gewest
8420,De Haan,West-Vlaanderen,Vlaams Gewest
8421,De Haan,West-Vlaanderen,Vlaams Gewest
8430,Middelkerke,West-Vlaanderen,Vlaams Gewest
8431,Middelkerke,West-Vlaanderen,Vlaams Gewest
8432,Middelkerke,West-Vlaanderen,Vlaams Gewest
8433,Middelkerke,West-Vlaanderen,Vlaams Gewest
8434,Middelkerke,West-Vlaanderen,Vlaams Gewest
8450,Bredene,West-Vlaanderen,Vlaams Gewest
8460,Oudenburg,West-Vlaanderen,Vlaams Gewest
8470,Gistel,West-Vlaanderen,Vlaams Gewest
8480,Ichtegem,West-Vlaanderen,Vlaams Gewest
8490,Jabbeke,West-Vlaanderen,Vlaams Gewest
8500,Kortrijk,West-Vlaanderen,Vlaams Gewest
8501,Kortrijk,West-Vlaanderen,Vlaams Gewest
8510,Kortrijk,West-Vlaanderen,Vlaams Gewest
8511,Kortrijk,West-Vlaanderen,Vlaams Gewest
8520,Kuurne,West-Vlaanderen,Vlaams Gewest
8530,Harelbeke,West-Vlaanderen,Vlaams Gewest
8531,Harelbeke,West-Vlaanderen,Vlaams Gewest
8540,Deerlijk,West-Vlaanderen,Vlaams Gewest
8550,Zwevegem,West-Vlaanderen,Vlaams Gewest
8551,Zwevegem,West-Vlaanderen,Vlaams Gewest
8552,Zwevegem,West-Vlaanderen,Vlaams Gewest
8553,Zwevegem,West-Vlaanderen,Vlaams Gewest
8554,Zwevegem,West-Vlaanderen,Vlaams Gewest
8560,Wevelgem,West-Vlaanderen,Vlaams Gewest
8570,Anzegem,West-Vlaanderen,Vlaams Gewest
8572,Anzegem,West-Vlaanderen,Vlaams Gewest
8573,Anzegem,West-Vlaanderen,Vlaams Gewest
8580,Avelgem,West-Vlaanderen,Vlaams Gewest
8581,Avelgem,West-Vlaanderen,Vlaams Gewest
8582,Avelgem,West-Vlaanderen,Vlaams Gewest
8583,Avelgem,West-Vlaanderen,Vlaams Gewest
8587,Spiere-Helkijn,West-Vlaanderen,Vlaams Gewest
8600,Diksmuide,West-Vlaanderen,Vlaams Gewest
8610,Kortemark,West-Vlaanderen,Vlaams Gewest
8620,Nieuwpoort,West-Vlaanderen,Vlaams Gewest
8630,Veurne,West-Vlaanderen,Vlaams Gewest
8640,Vleteren,West-Vlaanderen,Vlaams Gewest
8647,Lo-Reninge,West-Vlaanderen,Vlaams Gewest
8650,Houthulst,West-Vlaanderen,Vlaams Gewest
8660,De Panne,West-Vlaanderen,Vlaams Gewest
8670,Koksijde,West-Vlaanderen,Vlaams Gewest
8680,Koekelare,West-Vlaanderen,Vlaams Gewest
8690,Alveringem,West-Vlaanderen,Vlaams Gewest
8691,Alveringem,West-Vlaanderen,Vlaams Gewest
8700,Tielt,West-Vlaanderen,Vlaams Gewest
8710,Wielsbeke,West-Vlaanderen,Vlaams Gewest
8720,Dentergem,West-Vlaanderen,Vlaams Gewest
8730,Beernem,West-Vlaanderen,Vlaams Gewest
8740,Pittem,West-Vlaanderen,Vlaams Gewest
8750,Wingene,West-Vlaanderen,Vlaams Gewest
8755,Ruiselede,West-Vlaanderen,Vlaams Gewest
8760,Meulebeke,West-Vlaanderen,Vlaams Gewest
